24-03-2026 20:22:22 | POST | Cafeteria-API/categorias
24-03-2026 20:22:46 | POST | Cafeteria-API/categorias
24-03-2026 20:23:07 | POST | Cafeteria-API/categorias
27-03-2026 19:14:41 | POST | cafeteria-api/categorias
27-03-2026 19:14:41 | POST | cafeteria-api/categorias
31-03-2026 13:24:26 | POST | cafeteria-api/categorias
31-03-2026 13:44:04 | GET | cafeteria-api/categorias
31-03-2026 13:49:05 | GET | cafeteria-api/controllers/categorias
31-03-2026 13:51:47 | GET | cafeteria-api/categorias
31-03-2026 13:56:15 | GET | cafeteria-api/categorias
31-03-2026 13:57:48 | GET | cafeteria-api/categorias
31-03-2026 13:58:52 | GET | cafeteria-api/categorias
31-03-2026 13:59:49 | GET | cafeteria-api/categorias
31-03-2026 14:00:23 | GET | cafeteria-api/categorias
31-03-2026 14:00:24 | GET | cafeteria-api/categorias
31-03-2026 14:00:46 | GET | cafeteria-api/categorias
31-03-2026 14:01:17 | GET | cafeteria-api/categorias
31-03-2026 14:01:29 | GET | cafeteria-api/categorias
31-03-2026 14:02:47 | GET | cafeteria-api/categorias
31-03-2026 14:03:09 | GET | cafeteria-api/categorias
31-03-2026 14:03:44 | POST | cafeteria-api/categorias
31-03-2026 14:03:46 | GET | cafeteria-api/categorias
31-03-2026 14:34:49 | GET | cafeteria-api/categorias
31-03-2026 14:36:17 | GET | cafeteria-api/categorias
31-03-2026 14:36:20 | GET | cafeteria-api/categorias
31-03-2026 16:10:31 | GET | cafeteria-api/categorias
31-03-2026 17:21:37 | GET | cafeteria-api/categorias
31-03-2026 17:22:15 | GET | cafeteria-api/categorias
31-03-2026 17:22:41 | GET | cafeteria-api/categorias
31-03-2026 17:23:38 | GET | cafeteria-api/categorias
31-03-2026 17:24:48 | GET | cafeteria-api/categorias
31-03-2026 17:24:48 | GET | cafeteria-api/categorias
31-03-2026 17:24:48 | GET | cafeteria-api/categorias
31-03-2026 17:24:48 | GET | cafeteria-api/categorias
31-03-2026 17:24:49 | GET | cafeteria-api/categorias
31-03-2026 17:24:57 | GET | cafeteria-api/categorias
31-03-2026 17:27:47 | GET | cafeteria-api/categorias
31-03-2026 17:27:54 | GET | cafeteria-api/categorias
31-03-2026 18:38:15 | GET | cafeteria-api/categorias
31-03-2026 18:38:44 | GET | cafeteria-api/categorias
31-03-2026 18:41:25 | GET | cafeteria-api/categorias
31-03-2026 18:41:26 | GET | cafeteria-api/categorias
31-03-2026 18:41:27 | GET | cafeteria-api/categorias
31-03-2026 18:41:28 | GET | cafeteria-api/categorias
31-03-2026 18:41:30 | GET | cafeteria-api/categorias
31-03-2026 18:59:59 | POST | cafeteria-api/produtos
31-03-2026 19:06:35 | GET | cafeteria-api/categorias
31-03-2026 19:12:38 | GET | cafeteria-api/categorias
31-03-2026 19:13:10 | GET | cafeteria-api/produtos
31-03-2026 19:13:36 | GET | cafeteria-api/produtos
31-03-2026 19:15:08 | GET | cafeteria-api/produtos
31-03-2026 19:20:10 | GET | cafeteria-api/produtos
31-03-2026 19:22:17 | GET | cafeteria-api/produtos
31-03-2026 19:22:46 | GET | cafeteria-api/produtos
31-03-2026 19:23:01 | GET | cafeteria-api/produtos
31-03-2026 19:27:33 | GET | cafeteria-api/categorias
31-03-2026 19:27:33 | GET | cafeteria-api/produtos
31-03-2026 19:28:30 | GET | cafeteria-api/produtos
s
31-03-2026 19:29:41 | GET | cafeteria-api/categorias
31-03-2026 19:29:47 | GET | cafeteria-api/categorias
31-03-2026 19:29:47 | GET | cafeteria-api/produtos
31-03-2026 19:30:53 | GET | cafeteria-api/categorias
31-03-2026 19:30:53 | GET | cafeteria-api/produtos
31-03-2026 19:31:13 | GET | cafeteria-api/produtos
s
31-03-2026 19:31:22 | GET | cafeteria-api/categorias
31-03-2026 19:33:51 | GET | cafeteria-api/produtos
s
31-03-2026 19:34:26 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:37:52 | GET | cafeteria-api/categorias
31-03-2026 19:37:52 | GET | cafeteria-api/produtos
31-03-2026 19:38:16 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:42:03 | GET | cafeteria-api/categorias
31-03-2026 19:42:15 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:45:04 | GET | cafeteria-api/produtos
31-03-2026 19:46:43 | GET | cafeteria-api/categorias
31-03-2026 19:47:01 | POST | cafeteria-api/produtos
31-03-2026 19:47:20 | GET | cafeteria-api/categorias
31-03-2026 19:47:24 | GET | cafeteria-api/categorias
31-03-2026 19:47:24 | GET | cafeteria-api/produtos
31-03-2026 19:47:43 | GET | cafeteria-api/produtos
s
31-03-2026 19:47:45 | GET | cafeteria-api/produtos
s
31-03-2026 19:48:51 | GET | cafeteria-api/categorias
31-03-2026 19:48:51 | GET | cafeteria-api/produtos
31-03-2026 19:48:54 | GET | cafeteria-api/categorias
31-03-2026 19:48:54 | GET | cafeteria-api/produtos
31-03-2026 19:48:57 | GET | cafeteria-api/produtos
31-03-2026 19:48:57 | GET | cafeteria-api/categorias
31-03-2026 19:49:38 | OPTIONS | cafeteria-api/produtos
31-03-2026 19:53:13 | GET | cafeteria-api/produtos
31-03-2026 19:53:13 | GET | cafeteria-api/categorias
31-03-2026 19:53:15 | GET | cafeteria-api/categorias
