2026-04-10 04:40:01 | GET | meus-planos-api/categorias
2026-04-10 04:40:08 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:40:08 | POST | meus-planos-api/categorias
2026-04-10 04:42:00 | GET | meus-planos-api/categorias
2026-04-10 04:42:06 | OPTIONS | meus-planos-api/categorias
2026-04-10 04:42:06 | POST | meus-planos-api/categorias
2026-04-10 04:42:06 | GET | meus-planos-api/categorias
2026-04-10 04:42:12 | GET | meus-planos-api/itens
2026-04-10 04:42:12 | GET | meus-planos-api/categorias
2026-04-10 04:42:24 | OPTIONS | meus-planos-api/itens
2026-04-10 04:42:24 | POST | meus-planos-api/itens
2026-04-10 04:42:24 | GET | meus-planos-api/itens
2026-04-10 04:57:25 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/categorias
2026-04-10 04:57:30 | GET | meus-planos-api/itens
2026-04-10 04:58:34 | GET | meus-planos-api/categorias
2026-04-10 04:58:34 | GET | meus-planos-api/itens
2026-04-10 05:01:26 | GET | meus-planos-api/categorias
2026-04-10 05:01:26 | GET | meus-planos-api/itens
2026-04-10 05:01:29 | GET | meus-planos-api/categorias
2026-04-10 05:04:43 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/categorias
2026-04-10 05:04:45 | GET | meus-planos-api/itens
2026-04-10 05:05:15 | GET | meus-planos-api/categorias
2026-04-10 14:33:35 | GET | meus_planos/categorias
2026-04-10 14:38:06 | POST | meus_planos/categorias
2026-04-10 14:38:43 | GET | meus_planos/categorias
2026-04-10 14:41:13 | GET | meus_planos/categorias
2026-04-10 14:42:19 | GET | meus_planos/categorias
2026-04-10 14:42:25 | OPTIONS | meus_planos/categorias2
2026-04-10 14:42:25 | DELETE | meus_planos/categorias2
2026-04-10 14:42:25 | GET | meus_planos/categorias
2026-04-10 14:42:27 | GET | meus_planos/categorias
2026-04-10 14:43:34 | GET | meus_planos/categorias
2026-04-10 14:43:35 | OPTIONS | meus_planos/categorias2
2026-04-10 14:43:35 | DELETE | meus_planos/categorias2
2026-04-10 14:43:35 | GET | meus_planos/categorias
2026-04-10 14:44:39 | GET | meus_planos/categorias
2026-04-10 14:44:41 | OPTIONS | meus_planos/categorias2
2026-04-10 14:44:41 | DELETE | meus_planos/categorias2
2026-04-10 14:44:41 | GET | meus_planos/categorias
2026-04-10 14:46:02 | GET | meus_planos/categorias
2026-04-10 14:46:03 | OPTIONS | meus_planos/categorias2
2026-04-10 14:46:03 | DELETE | meus_planos/categorias2
2026-04-10 14:46:03 | GET | meus_planos/categorias
2026-04-10 14:47:43 | GET | meus_planos/categorias
2026-04-10 14:47:45 | OPTIONS | meus_planos/categorias/2
2026-04-10 14:47:45 | DELETE | meus_planos/categorias/2
2026-04-10 14:47:45 | GET | meus_planos/categorias
2026-04-10 14:47:58 | POST | meus_planos/categorias
2026-04-10 14:47:58 | GET | meus_planos/categorias
2026-04-10 14:48:17 | GET | meus_planos/categorias
2026-04-10 14:48:29 | GET | meus_planos/categorias
2026-04-10 14:48:46 | GET | meus_planos/categorias
2026-04-10 14:49:00 | POST | meus_planos/categorias
2026-04-10 14:49:00 | GET | meus_planos/categorias
2026-04-10 14:49:20 | GET | meus_planos/categorias
2026-04-10 14:50:33 | GET | meus_planos/categorias
2026-04-10 14:54:42 | GET | meus_planos/categorias
2026-04-10 15:01:18 | GET | meus_planos/categorias
2026-04-10 15:01:28 | GET | meus_planos/categorias
2026-04-10 15:01:50 | GET | meus_planos/itens
rias
2026-04-10 15:28:47 | GET | meus_planos/itens
2026-04-10 15:28:47 | GET | meus_planos/categorias
2026-04-10 15:30:38 | GET | meus_planos/categorias
2026-04-10 15:31:53 | GET | meus_planos/itens
rias
2026-04-10 15:32:47 | GET | meus_planos/categorias
2026-04-10 15:32:47 | GET | meus_planos/itens
2026-04-10 15:32:49 | GET | meus_planos/itens
rias
2026-04-10 15:32:49 | GET | meus_planos/itens
2026-04-10 15:32:49 | GET | meus_planos/categorias
2026-04-10 15:32:49 | GET | meus_planos/itens
2026-04-10 15:32:49 | GET | meus_planos/categorias
2026-04-10 15:34:33 | GET | meus_planos/categorias
2026-04-10 15:35:11 | GET | meus_planos/categorias
2026-04-10 15:35:11 | GET | meus_planos/itens
2026-04-10 15:44:20 | GET | meus_planos/categorias
2026-04-10 15:44:53 | GET | meus_planos/categorias
2026-04-10 15:44:53 | GET | meus_planos/itens
2026-04-10 15:46:24 | GET | meus_planos/categorias
2026-04-10 15:46:24 | GET | meus_planos/itens
2026-04-10 15:46:25 | OPTIONS | meus_planos/itens
2026-04-10 15:46:25 | PUT | meus_planos/itens
2026-04-10 15:46:27 | OPTIONS | meus_planos/itens
2026-04-10 15:46:27 | PUT | meus_planos/itens
2026-04-10 15:46:38 | OPTIONS | meus_planos/itens
2026-04-10 15:46:38 | PUT | meus_planos/itens
2026-04-10 15:46:51 | GET | meus_planos/categorias
2026-04-10 15:51:48 | GET | meus_planos/itens
rias
2026-04-10 15:51:50 | OPTIONS | meus_planos/itens/1
2026-04-10 15:51:50 | PUT | meus_planos/itens/1
2026-04-10 15:51:59 | GET | meus_planos/categorias
2026-04-10 15:58:24 | GET | meus_planos/categorias
